,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,bad_weather,Win_Pr(),Btts_Pr()
234,2,0,0.3333333333333333,0.2564102564102564,0.2352941176470588,43.0,0.3953488372093023,2505.0,0.8806387225548902,24.0,4.0,0.16666666666666666,0.32,0.0,20.0,0.5714285714285714,9.0,15.0,0.0,0,0.05,0.3125
235,3,0,0.2,0.32,0.0,43.0,0.16279069767441862,1387.0,0.8067772170151406,39.0,3.0,0.07692307692307693,0.5185185185185185,1.0,13.0,0.5652173913043478,5.0,12.0,0.0,1,0.3225806451612903,0.37735849056603776
236,0,0,0.3055555555555556,0.3333333333333333,0.10526315789473684,54.0,0.2037037037037037,1605.0,0.7757009345794392,42.0,7.0,0.16666666666666666,0.3928571428571429,0.0,22.0,0.55,8.0,29.0,0.0,0,0.30303030303030304,0.3508771929824561
237,2,0,0.2333333333333333,0.4,0.0,46.0,0.1956521739130435,1671.0,0.8037103530819868,38.0,3.0,0.07894736842105263,0.3888888888888889,0.0,8.0,0.5,6.0,4.0,0.0,0,0.26666666666666666,0.37735849056603776
238,0,0,0.4583333333333333,0.4583333333333333,0.3333333333333333,45.0,0.3111111111111111,2021.0,0.8525482434438397,25.0,3.0,0.16,0.5384615384615384,0.0,16.0,0.5925925925925926,8.0,10.0,0.0,0,0.1111111111111111,0.38167938931297707
239,1,0,0.3157894736842105,0.3157894736842105,0.5,45.0,0.24444444444444444,1607.0,0.8008711885500933,28.0,2.0,0.07142857142857142,0.4615384615384616,0.0,25.0,0.5434782608695652,11.0,23.0,0.0,1,0.1111111111111111,0.37037037037037035
240,0,0,0.35714285714285715,0.44642857142857145,0.3684210526315789,33.0,0.30303030303030304,2654.0,0.8620949510173324,27.0,6.0,0.2222222222222222,0.5333333333333333,0.0,13.0,0.6190476190476191,3.0,7.0,0.0,0,0.13333333333333333,0.3389830508474576
241,0,0,0.375,0.375,0.0,34.0,0.1176470588235294,1384.0,0.7182080924855492,37.0,7.0,0.1891891891891892,0.24,0.0,32.0,0.6153846153846154,19.0,19.0,0.0,1,0.14285714285714285,0.3333333333333333
242,0,0,0.2571428571428571,0.4,0.2352941176470588,46.0,0.17391304347826084,1501.0,0.7634910059960026,34.0,4.0,0.1176470588235294,0.6785714285714286,0.0,11.0,0.5,4.0,15.0,0.0,0,0.16666666666666666,0.38167938931297707
243,1,0,0.11428571428571427,0.2571428571428571,0.2352941176470588,39.0,0.1794871794871795,2105.0,0.8190023752969121,32.0,3.0,0.09375,0.4406779661016949,1.0,31.0,0.5961538461538461,21.0,22.0,0.0,0,0.11764705882352941,0.3436426116838488
