,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
181,2019372,52758,12,2,10,4,7,1,0,0
182,2019373,50146,16,1,15,1,9,6,0,0
183,2019373,50149,22,2,20,5,10,7,0,1
184,2019374,50043,16,4,12,1,10,5,1,0
185,2019374,52709,22,5,17,3,9,10,3,2
186,2019375,50064,13,2,11,0,10,3,1,2
187,2019375,53577,9,0,9,0,3,6,0,4
188,2019376,5312,16,2,14,3,10,4,2,3
189,2019376,52714,13,3,10,4,5,4,0,0
190,2019377,50139,14,2,12,2,10,2,3,3
191,2019377,50164,11,1,10,3,5,3,2,2
192,2019613,52919,20,5,15,6,11,3,2,2
193,2019613,50023,14,3,11,3,6,5,1,1
194,2019614,50051,13,1,12,2,7,4,2,2
195,2019614,50136,16,7,9,5,10,1,0,0
196,2019615,52747,14,3,11,2,9,3,0,1
197,2019615,50080,14,0,14,5,8,0,2,3
198,2019616,52714,8,0,8,3,2,3,1,1
199,2019616,53577,6,1,5,3,2,1,0,0
200,2019617,50147,18,8,10,1,7,10,1,2
201,2019617,52758,16,1,15,3,6,7,3,3
202,2019618,50037,13,1,12,2,9,2,0,0
203,2019618,52280,14,0,14,1,11,2,1,2
204,2019619,50064,14,1,13,2,4,8,0,1
205,2019619,50139,12,1,11,2,8,2,0,0
206,2019620,50109,13,3,10,1,7,5,0,0
207,2019620,50124,14,1,13,2,2,10,0,0
208,2019621,50080,28,1,27,7,16,5,4,7
209,2019621,52747,20,2,18,5,4,11,2,3
210,2019622,53577,10,0,10,0,2,8,1,3
211,2019622,52714,11,1,10,2,4,5,1,3
212,2019623,50023,19,5,14,0,4,15,4,3
213,2019623,52919,13,1,12,1,10,2,2,2
214,2019624,50136,12,4,8,8,4,0,0,0
215,2019624,50051,19,3,16,5,7,7,0,1
216,2019625,50139,10,0,10,1,6,3,1,1
217,2019625,50064,14,1,13,3,6,5,2,2
218,2019626,50124,9,0,9,1,2,6,0,0
219,2019626,50109,6,0,6,1,4,1,1,1
220,2019627,52758,18,0,18,2,12,4,0,1
221,2019627,50147,22,8,14,1,4,17,3,6
222,2019628,52280,14,2,12,4,6,4,0,0
223,2019628,50037,14,1,13,1,11,2,0,1
224,2019629,50124,16,1,15,3,8,5,4,4
225,2019629,53577,11,1,10,1,2,8,0,0
226,2019630,52758,11,2,9,0,8,3,3,3
227,2019630,50023,10,2,8,1,3,6,2,2
228,2019631,50037,9,1,8,3,5,1,1,1
229,2019631,50051,14,3,11,2,6,6,1,1
230,2019632,50139,19,1,18,4,5,10,3,3
231,2019632,50080,22,1,21,5,12,5,0,1
232,2019633,50051,24,2,22,8,9,7,1,1
233,2019633,50037,9,1,8,1,5,3,1,1
234,2019634,50080,21,1,20,4,13,4,2,2
235,2019634,50139,11,1,10,1,4,6,1,2
236,2019635,53577,9,1,8,1,3,5,1,2
237,2019635,50124,10,1,9,1,3,6,1,4
238,2019636,50023,10,1,9,1,1,8,1,1
239,2019636,52758,16,1,15,4,10,2,2,2
240,2019637,50023,13,0,13,3,9,1,4,4
241,2019637,50139,10,0,10,0,6,4,1,1
242,2019638,50051,15,0,15,3,10,2,2,2
243,2019638,50124,10,0,10,2,2,5,2,3
244,2019639,50124,8,0,8,0,2,6,1,2
245,2019639,50051,24,1,23,7,14,3,1,0
246,2019640,50139,24,3,21,3,11,10,3,3
247,2019640,50023,13,1,12,3,9,1,1,1
248,2019641,50139,19,1,18,3,11,5,1,1
249,2019641,50051,26,3,23,4,16,6,1,1
250,2021587,50147,17,2,15,3,11,3,4,4
251,2021587,54266,6,0,6,0,5,1,0,0
252,2021588,52682,16,2,14,0,10,6,3,3
253,2021588,59856,14,2,12,2,6,6,1,1
254,2021589,50037,5,1,4,1,4,0,1,0
255,2021589,50074,12,2,10,0,2,10,0,0
256,2021590,50050,6,1,5,0,4,2,1,1
257,2021590,52747,6,1,5,3,3,0,0,0
258,2021591,52914,12,2,10,4,7,1,1,0
259,2021591,60609,13,3,10,1,8,4,0,0
260,2021592,50137,19,5,14,2,12,5,1,1
261,2021592,50124,9,0,9,2,5,2,0,1
262,2021593,50080,15,0,15,9,5,1,1,1
263,2021593,50139,12,1,11,2,4,6,0,0
264,2021594,2610,18,0,18,5,11,2,1,1
265,2021594,50149,13,1,12,2,5,6,0,0
266,2021595,57490,14,0,14,1,9,4,1,1
267,2021595,50068,8,2,6,0,6,2,0,1
268,2021596,7889,10,2,8,2,4,4,1,2
269,2021596,52714,14,0,14,3,6,5,2,2
270,2021597,52749,15,6,9,0,8,7,1,2
271,2021597,52919,16,3,13,5,10,1,2,1
272,2021598,52707,20,2,18,3,11,6,2,3
273,2021598,50136,13,3,10,2,9,2,0,0
274,2021599,2603790,22,1,21,11,8,3,2,2
275,2021599,50023,19,5,14,4,8,7,1,1
276,2021600,50064,11,0,11,2,6,3,1,1
277,2021600,50157,15,0,15,1,4,10,1,1
278,2021601,50051,13,4,9,7,6,0,0,0
279,2021601,50118,15,3,12,6,4,5,1,1
280,2021602,1652,11,4,7,1,3,6,0,2
281,2021602,52758,19,4,15,11,7,1,0,0
282,2021603,52714,13,0,13,4,8,1,1,0
283,2021603,57490,10,1,9,1,6,3,1,0
284,2021604,50068,14,3,11,1,6,7,1,1
285,2021604,7889,12,0,12,3,7,2,1,1
286,2021605,50136,17,1,16,5,11,1,1,1
287,2021605,52749,13,1,12,3,7,3,0,1
288,2021606,52919,6,1,5,1,5,0,0,0
289,2021606,52707,16,4,12,3,9,4,1,1
